threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,2,300,0,298,0.00666666666667,0.0
0.1,2,300,0,298,0.00666666666667,0.0
0.11,3,300,0,297,0.01,0.0
0.12,3,300,0,297,0.01,0.0
0.13,3,300,0,297,0.01,0.0
0.14,3,300,0,297,0.01,0.0
0.15,3,300,0,297,0.01,0.0
0.16,4,300,0,296,0.0133333333333,0.0
0.17,4,300,0,296,0.0133333333333,0.0
0.18,6,300,0,294,0.02,0.0
0.19,7,300,0,293,0.0233333333333,0.0
0.2,10,300,0,290,0.0333333333333,0.0
0.21,10,300,0,290,0.0333333333333,0.0
0.22,10,300,0,290,0.0333333333333,0.0
0.23,11,300,0,289,0.0366666666667,0.0
0.24,13,300,0,287,0.0433333333333,0.0
0.25,15,300,0,285,0.05,0.0
0.26,17,300,0,283,0.0566666666667,0.0
0.27,18,300,0,282,0.06,0.0
0.28,22,300,0,278,0.0733333333333,0.0
0.29,23,300,0,277,0.0766666666667,0.0
0.3,25,300,0,275,0.0833333333333,0.0
0.31,26,300,0,274,0.0866666666667,0.0
0.32,28,300,0,272,0.0933333333333,0.0
0.33,30,300,0,270,0.1,0.0
0.34,31,300,0,269,0.103333333333,0.0
0.35000000000000003,36,300,0,264,0.12,0.0
0.36,40,300,0,260,0.133333333333,0.0
0.37,43,300,0,257,0.143333333333,0.0
0.38,46,300,0,254,0.153333333333,0.0
0.39,49,300,0,251,0.163333333333,0.0
0.4,50,300,0,250,0.166666666667,0.0
0.41000000000000003,56,300,0,244,0.186666666667,0.0
0.42,60,300,0,240,0.2,0.0
0.43,64,300,0,236,0.213333333333,0.0
0.44,65,300,0,235,0.216666666667,0.0
0.45,67,300,0,233,0.223333333333,0.0
0.46,69,300,0,231,0.23,0.0
0.47000000000000003,73,300,0,227,0.243333333333,0.0
0.48,76,300,0,224,0.253333333333,0.0
0.49,78,300,0,222,0.26,0.0
0.5,81,300,0,219,0.27,0.0
0.51,86,300,0,214,0.286666666667,0.0
0.52,94,300,0,206,0.313333333333,0.0
0.53,97,299,1,203,0.323333333333,0.00333333333333
